poniedzia³ek;Monday
poniedzia³ek;Monday
wtorek;Tuesday
œroda;Wednesday
czwartek;Thursday
pi¹tek;Friday
sobota;Saturday
niedziela;Sunday
up³yn¹æ;elapse
spodziewany;expected
równa siê;equals
równoœæ;equality
osadzone;embedded
nawet, jeszcze;even
ustaliæ;establish
zarówno;either
rozszerzaæ;extend
zapewniæ;ensure
niezdolny;unable
zazwyczaj;usually
brak;lack
warstwa;layer
uk³ad, plan;layout
pozwoliæ;let
pêtla;loop
przegl¹d;overview
ogólnie;overall
uzyskaæ;obtain
nieprzezroczystoœæ;opacity
zewnêtrzny;outer
pojawiæ siê;occur
wystêpowanie;occurrence
zabroniony;prohibited
pakiet;package
trwa³oœæ;persistence
zasada, regu³a;principle
pozwolenie;permission
w³aœciwoœæ;property
œcie¿ka;path
zwyk³y, prosty;plain
dostawca;provider
szczególnie;particularly
równolegle;parallel
wykonaæ;perform
akapit;paragraph
niejasny;ambiguous
podejœcie;approach
stosowany;applied
œredni;average
dopuszczaæ;allow
dozwolony;allowed
szyk, szereg;array
dostêp;access
wyrównaæ;align
ró¿ny;various
pytanie;query
kolejka;queue
iloœæ;quantity
porz¹dkowaæ;marshal
³¹czyæ, scalaæ;merge
zmierzyæ;measure
zwiêz³oœæ;brevity
tablica;board
wewn¹trz;within
czy;whether
zawijaæ treœæ;wrap content
ca³y;whole
zdobyæ;gain
otrzymywaæ;getting
dostaæ;get
zakres;scope
podobny;similar
wzgl¹d;sake
z³¹cze, wtyczka;socket
kilka;several
zestaw;set
komunikat;statement
dostawca;supplier
synchronizowaæ;sync
pasuje;suited
odpowiedni;suitable
etap;stage
próba, przyk³ad;sample
cecha;feature
wype³niæ;fill up
te, one;those
koñcowy;terminal
przez;through
myœl;thought
wskazówka;tip, hint
rzucaæ;throw
szablon;template
pewny;certain
przypadek, sprawa;case
komórka;cell
wygodny;convenient
zawieraæ;contain
liczyæ;count
nieœæ;carry
zatwierdzaæ;commit
sprawdziæ, kontrola;check out
porównaæ, równaæ;compare
cyfra;digit
nurkowaæ, zanurzaæ siê;dive
zale¿noœci;dependencies
podczas;during
przestarza³y;deprecated
pakiet zasobów;resource bundle
powracaæ;revert
odzyskaæ;retrieve
odrzucaæ;refuse
wymagany;required
odebrane;received
wydanie;release
wymienione;referenced
przepisaæ;rewrite
zdalne;remote
wznawianie;resume
w przybli¿eniu;roughly
w, do, na, we;into
niezmienny, sta³y;immutable
zamiast;instead
dziedziczenie;inheritance
liczba ca³kowita;integer
wewnêtrzny;internal
problem, kwestia;issue
powtórzyæ;iterate
wk³ad;input
zwiêkszaæ, wzrost;increase
wewnêtrzny;inner
ksi¹¿ka;book
rasa;breed
miejsce przy korytarzu;aisle seat
uczciwy;honest
przedzia³;compartment
oszust;fraud
rodzeñstwo;siblings
zwiedzanie;sightseeing
przera¿aæ;to terrify
pewny;certain, sure
m¹dry;wise
baga¿e;luggage
badaæ;to examine
w¹ski;narrow
w³amywacz;burglar
z³odziej;thief
okazja;bargain
krewny;relative
za granic¹;abroad
puco³owaty;chubby
zlew;sink
zamiataæ;to sweep
portmonetka;purse
rozs¹dny;sensible, reasonable
zastanawiaæ siê;to wonder
wagon;carriage
spódnica;skirt
terapia, leczenie;treatment
opiekowaæ siê;to look after
studiowaæ, uczyæ siê;to study
nó¿;knife
pó³noc;north
ogieñ;fire
park;park
adres;address
ptak;bird
polityka;politics
szynka;ham
jeleñ, sarna;deer
kurczak;chicken
medycyna;medicine
pierœcionek;ring
rêka, d³oñ;hand
dru¿yna;team
radio;radio
mas³o;butter
krowa;cow
widelec;fork
siedem;seven
wolny;free
ja;I
tysi¹c;thousand
szef;boss
diagnoza;diagnosis
mysz;mouse
ma³¿eñstwo;marriage
dane;data
stacja metra;underground station
g³owa;head
œwiadomy;aware
hydraulik;plumber
babcia;grandmother
atakowaæ;to attack
instalowaæ;to install
teatr;theatre
póŸno;late
ona;she
brat;brother
wiêc;so
poczta;post office
apteka;pharmacy
powoli;slowly
ciemny;dark
kot;cat
parlament;parliament
makaron;pasta
paj¹k;spider
klinika;clinic
marchewka;carrot
dziadek;grandfather
prawie nigdy;hardly ever
jedenaœcie;eleven
rano;morning
tygry;tiger
spaæ;to sleep
kurtka, marynarka;jacket
czuæ;to feel
most;bridge
umiêœniony;muscular
dobry;good
³apaæ;to catch
czeœæ;hello, hi
bankomat;cash machine
zwierzê;animal
Japonia;Japan
ciasto, tort;cake
o, na temat;about
ofiara;victim
czaszka;skull
recepcja;reception desk
talerz;plate
bilet;ticket
ch³opak(sympatia);boyfriend
g³êboki;deep
sukienka;dress
fizyka(przedmiot);science
zielony;green
dumny;proud
wygrywaæ;to win
bia³y;white
¿ó³ty;yellow
siatkówka;volleyball
czarny;black
warzywo;vegetable
czterdzieœci;forty
goliæ;to shave
dysk, p³yta;disc
opowiadanie, historia;story
trzydzieœci;thirty
